regla_SI,clase_ENTONCES,precision,soporte,aciertos,cobertura_clase
Metodologia=Cascada AND Tamano_Equipo=Mediano AND Presupuesto=Medio AND Experiencia_Lider=Baja,No,0.4667,15,7,0.0139
Metodologia=Hibrida AND Tamano_Equipo=Grande AND Presupuesto=Alto AND Experiencia_Lider=Alta,No,0.4667,15,7,0.0139
Metodologia=Hibrida AND Presupuesto=Medio AND Tamano_Equipo=Pequeño AND Experiencia_Lider=Alta,No,0.4615,13,6,0.012
Experiencia_Lider=Media AND Presupuesto=Medio AND Tamano_Equipo=Pequeño AND Metodologia=Cascada,No,0.4615,13,6,0.012
Experiencia_Lider=Baja AND Presupuesto=Medio AND Tamano_Equipo=Mediano AND Metodologia=Hibrida,No,0.4615,13,6,0.012
Metodologia=Hibrida AND Tamano_Equipo=Pequeño AND Presupuesto=Bajo AND Experiencia_Lider=Baja,Si,0.4615,13,6,0.012
Tamano_Equipo=Mediano AND Metodologia=Cascada AND Experiencia_Lider=Baja AND Presupuesto=Alto,No,0.4545,11,5,0.01
Metodologia=Hibrida AND Tamano_Equipo=Mediano AND Experiencia_Lider=Media AND Presupuesto=Alto,No,0.4545,11,5,0.01
Experiencia_Lider=Media AND Presupuesto=Bajo AND Tamano_Equipo=Pequeño AND Metodologia=Agil,No,0.4545,11,5,0.01
Experiencia_Lider=Media AND Metodologia=Hibrida AND Tamano_Equipo=Pequeño AND Presupuesto=Medio,Si,0.45,20,9,0.0181
Experiencia_Lider=Media AND Presupuesto=Medio AND Tamano_Equipo=Grande AND Metodologia=Cascada,No,0.4444,9,4,0.008
Experiencia_Lider=Media AND Metodologia=Hibrida AND Presupuesto=Alto AND Tamano_Equipo=Grande,Si,0.4444,9,4,0.008
Tamano_Equipo=Grande AND Metodologia=Cascada AND Presupuesto=Alto AND Experiencia_Lider=Alta,No,0.4286,14,6,0.012
Metodologia=Agil AND Experiencia_Lider=Media AND Tamano_Equipo=Grande AND Presupuesto=Medio,Si,0.4286,14,6,0.012
Metodologia=Cascada AND Presupuesto=Medio AND Tamano_Equipo=Pequeño AND Experiencia_Lider=Alta,No,0.4211,19,8,0.0159
Experiencia_Lider=Baja AND Presupuesto=Bajo AND Tamano_Equipo=Pequeño AND Metodologia=Agil,No,0.4167,12,5,0.01
Tamano_Equipo=Mediano AND Experiencia_Lider=Baja AND Presupuesto=Medio AND Metodologia=Agil,No,0.4167,12,5,0.01
Metodologia=Agil AND Tamano_Equipo=Mediano AND Presupuesto=Bajo AND Experiencia_Lider=Baja,Si,0.4167,12,5,0.01
Metodologia=Agil AND Tamano_Equipo=Mediano AND Presupuesto=Medio AND Experiencia_Lider=Media,Si,0.4,15,6,0.012
Presupuesto=Medio AND Tamano_Equipo=Pequeño AND Experiencia_Lider=Baja AND Metodologia=Agil,Si,0.4,15,6,0.012
Metodologia=Hibrida AND Presupuesto=Bajo AND Experiencia_Lider=Alta AND Tamano_Equipo=Grande,No,0.4,10,4,0.008
Metodologia=Hibrida AND Presupuesto=Bajo AND Tamano_Equipo=Pequeño AND Experiencia_Lider=Media,No,0.3846,13,5,0.01
Metodologia=Hibrida AND Tamano_Equipo=Mediano AND Presupuesto=Alto AND Experiencia_Lider=Baja,No,0.381,21,8,0.0159
Tamano_Equipo=Mediano AND Metodologia=Cascada AND Presupuesto=Alto AND Experiencia_Lider=Alta,No,0.375,8,3,0.006
Metodologia=Hibrida AND Presupuesto=Medio AND Tamano_Equipo=Pequeño AND Experiencia_Lider=Baja,No,0.375,8,3,0.006
Tamano_Equipo=Mediano AND Experiencia_Lider=Baja AND Metodologia=Agil AND Presupuesto=Alto,No,0.3636,11,4,0.008
Tamano_Equipo=Mediano AND Metodologia=Hibrida AND Experiencia_Lider=Baja AND Presupuesto=Bajo,Si,0.3636,11,4,0.008
Experiencia_Lider=Media AND Metodologia=Agil AND Tamano_Equipo=Grande AND Presupuesto=Bajo,Si,0.3636,11,4,0.008
Experiencia_Lider=Media AND Metodologia=Hibrida AND Tamano_Equipo=Grande AND Presupuesto=Medio,Si,0.3333,9,3,0.006
Tamano_Equipo=Mediano AND Presupuesto=Alto AND Metodologia=Hibrida AND Experiencia_Lider=Alta,Si,0.3333,9,3,0.006
Experiencia_Lider=Media AND Presupuesto=Alto AND Tamano_Equipo=Mediano AND Metodologia=Cascada,Si,0.3333,9,3,0.006
Tamano_Equipo=Grande AND Metodologia=Cascada AND Presupuesto=Medio AND Experiencia_Lider=Alta,No,0.3333,6,2,0.004
Metodologia=Hibrida AND Tamano_Equipo=Mediano AND Presupuesto=Medio AND Experiencia_Lider=Alta,No,0.3125,16,5,0.01
Tamano_Equipo=Mediano AND Metodologia=Hibrida AND Presupuesto=Bajo AND Experiencia_Lider=Alta,Si,0.3125,16,5,0.01
Experiencia_Lider=Media AND Presupuesto=Bajo AND Tamano_Equipo=Grande AND Metodologia=Hibrida,No,0.3077,13,4,0.008
Presupuesto=Medio AND Tamano_Equipo=Pequeño AND Metodologia=Cascada AND Experiencia_Lider=Baja,Si,0.2941,17,5,0.01
Experiencia_Lider=Media AND Tamano_Equipo=Mediano AND Metodologia=Agil AND Presupuesto=Bajo,No,0.2727,11,3,0.006
Tamano_Equipo=Grande AND Experiencia_Lider=Media AND Metodologia=Agil AND Presupuesto=Alto,No,0.25,12,3,0.006
Presupuesto=Medio AND Tamano_Equipo=Mediano AND Metodologia=Cascada AND Experiencia_Lider=Alta,Si,0.2222,9,2,0.004
Experiencia_Lider=Media AND Metodologia=Agil AND Tamano_Equipo=Pequeño AND Presupuesto=Medio,Si,0.1538,13,2,0.004
